CID,smiles1,smiles2,label
C001,CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,C1CN2CC3=CC4=C(C=C3[C@H]5[C@H]2C1=C[C@@H]([C@H]5O)O)OCO4,1
C002,CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,COC1=C(C=CC(=C1)[C@@H]2[C@H](OC3=C(O2)C=C(C=C3)[C@@H]4[C@H](C(=O)C5=C(C=C(C=C5O4)O)O)O)CO)O,1
C003,CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,C[C@]12CC[C@](C[C@@H]1C3=CC(=O)[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O[C@@H]6[C@@H]([C@H]([C@@H]([C@H](O6)C(=O)[O-])O)O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)C(=O)[O-])O)O)O)C)(C)C(=O)O.[Mg+2],1
C004,CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,CC1=NC=C(N1CCO)[N+](=O)[O-],1
C005,CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,CN\C(NCCSCC1=C(C)NC=N1)=N\C#N,1
C006,C1=CC=C2C(=C1)C(=NN2CC3=C(C=C(C=C3)Cl)Cl)C(=O)O,C1=CC(=NC=C1C(=O)N)N,1
C007,C[C@H]([C@H]1C(=O)N[C@@H](CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N1)CCCCN)CC2=CNC3=CC=CC=C32)CC4=CC=CC=C4)NC(=O)[C@@H](CC5=CC=CC=C5)N)C(=O)N[C@H](CO)[C@@H](C)O)O,CN(C)C(=N)NC(=N)N,1
C008,CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,CN1C=NC2=C1C(=O)NC(=O)N2C,1
C009,CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,CC1=NC(=C(C)N=C1C)C,1
C010,C[C@H]1CC[C@]2(C[C@@H]3C[C@H](O2)C/C=C(/C[C@H](/C=C/C=C/4\CO[C@H]5[C@@]4([C@@H](C=C([C@H]5O)C)C(=O)O3)O)C)\C)O[C@@H]1C,O=C(C1CCCCC1)N1CC2N(CCC3=CC=CC=C23)C(=O)C1,1
C011,C1CC(CCC1C2=CC=C(C=C2)Cl)C3=C(C4=CC=CC=C4C(=O)C3=O)O,C1CCN[C@H](C1)[C@H](C2=CC(=NC3=C2C=CC=C3C(F)(F)F)C(F)(F)F)O.Cl,1
C012,COCC(=O)NC1=C(C=CC(=C1)SC2=CC=CC=C2)N=C(NC(=O)OC)NC(=O)OC,CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Cl,1
C013,CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,O=C(C1CCCCC1)N1CC2N(CCC3=CC=CC=C23)C(=O)C1,1
C014,CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,CC1=C(C=C(C=C1)C(C)C)O,1
C015,CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,CC1=CC(=C(C=C1)C(C)C)O,1
C016,CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,CN\C(NCCSCC1=C(C)NC=N1)=N\C#N,1
C017,CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,CC(=O)CCCCN1C(=O)C2=C(N=CN2C)N(C1=O)C,1
C018,CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,CN(C)C(=N)NC(=N)N,1
C019,CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,C1CC(CCC1C2=CC=C(C=C2)Cl)C3=C(C4=CC=CC=C4C(=O)C3=O)O,1
C020,CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,CC1C=CC=CC=CC=CC=CC=CC=CC(CC2C(C(CC(O2)(CC(CC(C(CCC(CC(CC(=O)OC(C(C1O)C)C)O)O)O)O)O)O)O)C(=O)O)OC3C(C(C(C(O3)C)O)N)O,1
C021,CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,CC(=N)N=[N+]=[N-],1
C022,CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,CC1=C(C=C(C=C1)C(C)C)O,1
C023,CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=C(C=C34)OC)O,1
C024,CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,COC1=CC2=C(C=C1)C3=CC=NC(=C3[NH]2)C,1
C025,CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,C1CC(CCC1C2=CC=C(C=C2)Cl)C3=C(C4=CC=CC=C4C(=O)C3=O)O,1
C026,CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,COC1=C(C=CC(=C1)/C=C/C(=O)CC(=O)/C=C/C2=CC(=C(C=C2)O)OC)O,1
C027,CC1=NC=C(N1CCO)[N+](=O)[O-],CC1=NC(=C(C)N=C1C)C,0
C028,CN(C)C(=N)NC(=N)N,COC1=C(C=CC(=C1)[C@@H]2[C@H](OC3=C(O2)C=C(C=C3)[C@@H]4[C@H](C(=O)C5=C(C=C(C=C5O4)O)O)O)CO)O,0
C029,CC1=C(C=C(C=C1)C(C)C)O,C1CC(CCC1C2=CC=C(C=C2)Cl)C3=C(C4=CC=CC=C4C(=O)C3=O)O,0
C030,COC1=C(C=CC(=C1)[C@@H]2[C@H](OC3=C(O2)C=C(C=C3)[C@@H]4[C@H](C(=O)C5=C(C=C(C=C5O4)O)O)O)CO)O,CC1=NC=C(N1CCO)[N+](=O)[O-],0
C031,CC1=NC=C(N1CCO)[N+](=O)[O-],CN(C)C(=N)NC(=N)N,0
C032,CC1=C(C=C(C=C1)C(C)C)O,CN\C(NCCSCC1=C(C)NC=N1)=N\C#N,0
C033,COC1=CC2=C(C=C1)C3=CC=NC(=C3[NH]2)C,CC1=NC(=C(C)N=C1C)C,0
C034,CC1=C(C=C(C=C1)C(C)C)O,COC1=C(C=CC(=C1)[C@@H]2[C@H](OC3=C(O2)C=C(C=C3)[C@@H]4[C@H](C(=O)C5=C(C=C(C=C5O4)O)O)O)CO)O,0
C035,COC1=CC2=C(C=C1)C3=CC=NC(=C3[NH]2)C,C1CC(CCC1C2=CC=C(C=C2)Cl)C3=C(C4=CC=CC=C4C(=O)C3=O)O,0
C036,CC1=NC(=C(C)N=C1C)C,C1=CC(=NC=C1C(=O)N)N,0
C037,CC1C=CC=CC=CC=CC=CC=CC=CC(CC2C(C(CC(O2)(CC(CC(C(CCC(CC(CC(=O)OC(C(C1O)C)C)O)O)O)O)O)O)O)C(=O)O)OC3C(C(C(C(O3)C)O)N)O,C[C@]12CC[C@](C[C@@H]1C3=CC(=O)[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O[C@@H]6[C@@H]([C@H]([C@@H]([C@H](O6)C(=O)[O-])O)O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)C(=O)[O-])O)O)O)C)(C)C(=O)O.[Mg+2],0
C038,CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Cl,CC(=O)CCCCN1C(=O)C2=C(N=CN2C)N(C1=O)C,0
C039,CC1=CC(=C(C=C1)C(C)C)O,CN\C(NCCSCC1=C(C)NC=N1)=N\C#N,0
C040,CN1C=NC2=C1C(=O)NC(=O)N2C,COC1=C(C=CC(=C1)[C@@H]2[C@H](OC3=C(O2)C=C(C=C3)[C@@H]4[C@H](C(=O)C5=C(C=C(C=C5O4)O)O)O)CO)O,0
C041,CN\C(NCCSCC1=C(C)NC=N1)=N\C#N,CC(=O)CCCCN1C(=O)C2=C(N=CN2C)N(C1=O)C,0
C042,COC1=C(C=CC(=C1)/C=C/C(=O)CC(=O)/C=C/C2=CC(=C(C=C2)O)OC)O,CC(=O)CCCCN1C(=O)C2=C(N=CN2C)N(C1=O)C,0
C043,C1=CC(=NC=C1C(=O)N)N,O=C(C1CCCCC1)N1CC2N(CCC3=CC=CC=C23)C(=O)C1,0
C044,COC1=CC2=C(C=C1)C3=CC=NC(=C3[NH]2)C,COC1=C(C=CC(=C1)[C@@H]2[C@H](OC3=C(O2)C=C(C=C3)[C@@H]4[C@H](C(=O)C5=C(C=C(C=C5O4)O)O)O)CO)O,0
C045,CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Cl,CC1=NC=C(N1CCO)[N+](=O)[O-],0
C046,O=C(C1CCCCC1)N1CC2N(CCC3=CC=CC=C23)C(=O)C1,C1=CC(=NC=C1C(=O)N)N,0
C047,O=C(C1CCCCC1)N1CC2N(CCC3=CC=CC=C23)C(=O)C1,C1CC(CCC1C2=CC=C(C=C2)Cl)C3=C(C4=CC=CC=C4C(=O)C3=O)O,0
C048,C1CN2CC3=CC4=C(C=C3[C@H]5[C@H]2C1=C[C@@H]([C@H]5O)O)OCO4,CC(=N)N=[N+]=[N-],0
C049,O=C(C1CCCCC1)N1CC2N(CCC3=CC=CC=C23)C(=O)C1,CN\C(NCCSCC1=C(C)NC=N1)=N\C#N,0
C050,CN(C)C(=N)NC(=N)N,C1CC(CCC1C2=CC=C(C=C2)Cl)C3=C(C4=CC=CC=C4C(=O)C3=O)O,0
C051,CC(=O)CCCCN1C(=O)C2=C(N=CN2C)N(C1=O)C,C1CN2CC3=CC4=C(C=C3[C@H]5[C@H]2C1=C[C@@H]([C@H]5O)O)OCO4,0
C052,C1CC(CCC1C2=CC=C(C=C2)Cl)C3=C(C4=CC=CC=C4C(=O)C3=O)O,O=C(C1CCCCC1)N1CC2N(CCC3=CC=CC=C23)C(=O)C1,0
C053,C1CN2CC3=CC4=C(C=C3[C@H]5[C@H]2C1=C[C@@H]([C@H]5O)O)OCO4,CN(C)C(=N)NC(=N)N,0
C054,CC1=C(C=C(C=C1)C(C)C)O,CC1=NC=C(N1CCO)[N+](=O)[O-],0
C055,C1CC(CCC1C2=CC=C(C=C2)Cl)C3=C(C4=CC=CC=C4C(=O)C3=O)O,CC1C=CC=CC=CC=CC=CC=CC=CC(CC2C(C(CC(O2)(CC(CC(C(CCC(CC(CC(=O)OC(C(C1O)C)C)O)O)O)O)O)O)O)C(=O)O)OC3C(C(C(C(O3)C)O)N)O,0
C056,CC(=O)CCCCN1C(=O)C2=C(N=CN2C)N(C1=O)C,CN(C)C(=N)NC(=N)N,0
C057,CC1=NC(=C(C)N=C1C)C,C[C@]12CC[C@](C[C@@H]1C3=CC(=O)[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O[C@@H]6[C@@H]([C@H]([C@@H]([C@H](O6)C(=O)[O-])O)O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)C(=O)[O-])O)O)O)C)(C)C(=O)O.[Mg+2],0
C058,C1CCN[C@H](C1)[C@H](C2=CC(=NC3=C2C=CC=C3C(F)(F)F)C(F)(F)F)O.Cl,CN1C=NC2=C1C(=O)NC(=O)N2C,0
C059,C1CC(CCC1C2=CC=C(C=C2)Cl)C3=C(C4=CC=CC=C4C(=O)C3=O)O,CN1C=NC2=C1C(=O)NC(=O)N2C,0
C060,C1CCN[C@H](C1)[C@H](C2=CC(=NC3=C2C=CC=C3C(F)(F)F)C(F)(F)F)O.Cl,C1CN2CC3=CC4=C(C=C3[C@H]5[C@H]2C1=C[C@@H]([C@H]5O)O)OCO4,0
C061,C1CCN[C@H](C1)[C@H](C2=CC(=NC3=C2C=CC=C3C(F)(F)F)C(F)(F)F)O.Cl,CN(C)C(=N)NC(=N)N,0
C062,C1CC(CCC1C2=CC=C(C=C2)Cl)C3=C(C4=CC=CC=C4C(=O)C3=O)O,CN(C)C(=N)NC(=N)N,0
C063,CC(=O)CCCCN1C(=O)C2=C(N=CN2C)N(C1=O)C,C1CCN[C@H](C1)[C@H](C2=CC(=NC3=C2C=CC=C3C(F)(F)F)C(F)(F)F)O.Cl,0
C064,CC(=N)N=[N+]=[N-],CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Cl,0
C065,CC1=C(C=C(C=C1)C(C)C)O,COC1=C(C=CC(=C1)/C=C/C(=O)CC(=O)/C=C/C2=CC(=C(C=C2)O)OC)O,0
C066,CN\C(NCCSCC1=C(C)NC=N1)=N\C#N,CC1=NC=C(N1CCO)[N+](=O)[O-],0
C067,O=C(C1CCCCC1)N1CC2N(CCC3=CC=CC=C23)C(=O)C1,CC1=NC=C(N1CCO)[N+](=O)[O-],0
C068,C1CN2CC3=CC4=C(C=C3[C@H]5[C@H]2C1=C[C@@H]([C@H]5O)O)OCO4,COC1=CC2=C(C=C1)C3=CC=NC(=C3[NH]2)C,0
C069,CN1C=NC2=C1C(=O)NC(=O)N2C,COC1=C(C=CC(=C1)/C=C/C(=O)CC(=O)/C=C/C2=CC(=C(C=C2)O)OC)O,0
C070,CC1=CC(=C(C=C1)C(C)C)O,COC1=C(C=CC(=C1)/C=C/C(=O)CC(=O)/C=C/C2=CC(=C(C=C2)O)OC)O,0
C071,CC1C=CC=CC=CC=CC=CC=CC=CC(CC2C(C(CC(O2)(CC(CC(C(CCC(CC(CC(=O)OC(C(C1O)C)C)O)O)O)O)O)O)O)C(=O)O)OC3C(C(C(C(O3)C)O)N)O,C1CCN[C@H](C1)[C@H](C2=CC(=NC3=C2C=CC=C3C(F)(F)F)C(F)(F)F)O.Cl,0
C072,CC(=N)N=[N+]=[N-],COC1=C(C=CC(=C1)/C=C/C(=O)CC(=O)/C=C/C2=CC(=C(C=C2)O)OC)O,0
C073,CN\C(NCCSCC1=C(C)NC=N1)=N\C#N,CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Cl,0
C074,COC1=C(C=CC(=C1)[C@@H]2[C@H](OC3=C(O2)C=C(C=C3)[C@@H]4[C@H](C(=O)C5=C(C=C(C=C5O4)O)O)O)CO)O,CC1=CC(=C(C=C1)C(C)C)O,0
C075,CC1=C(C=C(C=C1)C(C)C)O,C[C@]12CC[C@](C[C@@H]1C3=CC(=O)[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O[C@@H]6[C@@H]([C@H]([C@@H]([C@H](O6)C(=O)[O-])O)O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)C(=O)[O-])O)O)O)C)(C)C(=O)O.[Mg+2],0
C076,C1CN2CC3=CC4=C(C=C3[C@H]5[C@H]2C1=C[C@@H]([C@H]5O)O)OCO4,C1CC(CCC1C2=CC=C(C=C2)Cl)C3=C(C4=CC=CC=C4C(=O)C3=O)O,0
C077,C1=CC(=NC=C1C(=O)N)N,CC1=NC(=C(C)N=C1C)C,0
C078,CC1=NC(=C(C)N=C1C)C,CN1C=NC2=C1C(=O)NC(=O)N2C,0
C079,C[C@]12CC[C@](C[C@@H]1C3=CC(=O)[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O[C@@H]6[C@@H]([C@H]([C@@H]([C@H](O6)C(=O)[O-])O)O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)C(=O)[O-])O)O)O)C)(C)C(=O)O.[Mg+2],CC1=NC(=C(C)N=C1C)C,0
C080,CN\C(NCCSCC1=C(C)NC=N1)=N\C#N,O=C(C1CCCCC1)N1CC2N(CCC3=CC=CC=C23)C(=O)C1,0
C081,CN(C)C(=N)NC(=N)N,CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Cl,0
C082,COC1=C(C=CC(=C1)[C@@H]2[C@H](OC3=C(O2)C=C(C=C3)[C@@H]4[C@H](C(=O)C5=C(C=C(C=C5O4)O)O)O)CO)O,CN(C)C(=N)NC(=N)N,0
C083,CC1=CC(=C(C=C1)C(C)C)O,C[C@]12CC[C@](C[C@@H]1C3=CC(=O)[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O[C@@H]6[C@@H]([C@H]([C@@H]([C@H](O6)C(=O)[O-])O)O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)C(=O)[O-])O)O)O)C)(C)C(=O)O.[Mg+2],0
C084,C[C@]12CC[C@](C[C@@H]1C3=CC(=O)[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O[C@@H]6[C@@H]([C@H]([C@@H]([C@H](O6)C(=O)[O-])O)O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)C(=O)[O-])O)O)O)C)(C)C(=O)O.[Mg+2],CN(C)C(=N)NC(=N)N,0
C085,CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Cl,CC(=N)N=[N+]=[N-],0
C086,CN\C(NCCSCC1=C(C)NC=N1)=N\C#N,CN1C=NC2=C1C(=O)NC(=O)N2C,0
C087,COC1=C(C=CC(=C1)/C=C/C(=O)CC(=O)/C=C/C2=CC(=C(C=C2)O)OC)O,CN1C=NC2=C1C(=O)NC(=O)N2C,0
C088,C1=CC(=NC=C1C(=O)N)N,CC1=C(C=C(C=C1)C(C)C)O,0
C089,CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Cl,CC1=CC(=C(C=C1)C(C)C)O,0
C090,CC(=O)CCCCN1C(=O)C2=C(N=CN2C)N(C1=O)C,CC1=C(C=C(C=C1)C(C)C)O,0
C091,CC1C=CC=CC=CC=CC=CC=CC=CC(CC2C(C(CC(O2)(CC(CC(C(CCC(CC(CC(=O)OC(C(C1O)C)C)O)O)O)O)O)O)O)C(=O)O)OC3C(C(C(C(O3)C)O)N)O,C1=CC(=NC=C1C(=O)N)N,0
C092,CC1C=CC=CC=CC=CC=CC=CC=CC(CC2C(C(CC(O2)(CC(CC(C(CCC(CC(CC(=O)OC(C(C1O)C)C)O)O)O)O)O)O)O)C(=O)O)OC3C(C(C(C(O3)C)O)N)O,C1CC(CCC1C2=CC=C(C=C2)Cl)C3=C(C4=CC=CC=C4C(=O)C3=O)O,0
C093,CC1=C(C=C(C=C1)C(C)C)O,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=C(C=C34)OC)O,0
C094,CC1=C(C=C(C=C1)C(C)C)O,O=C(C1CCCCC1)N1CC2N(CCC3=CC=CC=C23)C(=O)C1,0
C095,CC1C=CC=CC=CC=CC=CC=CC=CC(CC2C(C(CC(O2)(CC(CC(C(CCC(CC(CC(=O)OC(C(C1O)C)C)O)O)O)O)O)O)O)C(=O)O)OC3C(C(C(C(O3)C)O)N)O,CN\C(NCCSCC1=C(C)NC=N1)=N\C#N,0
C096,C[C@]12CC[C@](C[C@@H]1C3=CC(=O)[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O[C@@H]6[C@@H]([C@H]([C@@H]([C@H](O6)C(=O)[O-])O)O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)C(=O)[O-])O)O)O)C)(C)C(=O)O.[Mg+2],C1CCN[C@H](C1)[C@H](C2=CC(=NC3=C2C=CC=C3C(F)(F)F)C(F)(F)F)O.Cl,0
C097,O=C(C1CCCCC1)N1CC2N(CCC3=CC=CC=C23)C(=O)C1,C[C@]12CC[C@](C[C@@H]1C3=CC(=O)[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O[C@@H]6[C@@H]([C@H]([C@@H]([C@H](O6)C(=O)[O-])O)O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)C(=O)[O-])O)O)O)C)(C)C(=O)O.[Mg+2],0
C098,C1CC(CCC1C2=CC=C(C=C2)Cl)C3=C(C4=CC=CC=C4C(=O)C3=O)O,CN\C(NCCSCC1=C(C)NC=N1)=N\C#N,0
C099,CN1C=NC2=C1C(=O)NC(=O)N2C,O=C(C1CCCCC1)N1CC2N(CCC3=CC=CC=C23)C(=O)C1,0
C100,CC1=NC(=C(C)N=C1C)C,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=C(C=C34)OC)O,0
C101,C1CC(CCC1C2=CC=C(C=C2)Cl)C3=C(C4=CC=CC=C4C(=O)C3=O)O,CC1=C(C=C(C=C1)C(C)C)O,0
C102,CC1=C(C=C(C=C1)C(C)C)O,CN1C=NC2=C1C(=O)NC(=O)N2C,0
C103,CC1=C(C=C(C=C1)C(C)C)O,CC(=N)N=[N+]=[N-],0
C104,CC1=NC=C(N1CCO)[N+](=O)[O-],CC(=N)N=[N+]=[N-],0
C105,C1CN2CC3=CC4=C(C=C3[C@H]5[C@H]2C1=C[C@@H]([C@H]5O)O)OCO4,CC(=O)CCCCN1C(=O)C2=C(N=CN2C)N(C1=O)C,0
C106,COC1=C(C=CC(=C1)[C@@H]2[C@H](OC3=C(O2)C=C(C=C3)[C@@H]4[C@H](C(=O)C5=C(C=C(C=C5O4)O)O)O)CO)O,COC1=CC2=C(C=C1)C3=CC=NC(=C3[NH]2)C,0
C107,CC1=C(C=C(C=C1)C(C)C)O,CC1=NC(=C(C)N=C1C)C,0
C108,CC1=CC(=C(C=C1)C(C)C)O,CC1C=CC=CC=CC=CC=CC=CC=CC(CC2C(C(CC(O2)(CC(CC(C(CCC(CC(CC(=O)OC(C(C1O)C)C)O)O)O)O)O)O)O)C(=O)O)OC3C(C(C(C(O3)C)O)N)O,0
C109,C1CN2CC3=CC4=C(C=C3[C@H]5[C@H]2C1=C[C@@H]([C@H]5O)O)OCO4,CC1=NC=C(N1CCO)[N+](=O)[O-],0
C110,CN\C(NCCSCC1=C(C)NC=N1)=N\C#N,C1CCN[C@H](C1)[C@H](C2=CC(=NC3=C2C=CC=C3C(F)(F)F)C(F)(F)F)O.Cl,0
C111,CC1=CC(=C(C=C1)C(C)C)O,CN1C=NC2=C1C(=O)NC(=O)N2C,0
C112,CN1C=NC2=C1C(=O)NC(=O)N2C,CC1=CC(=C(C=C1)C(C)C)O,0
C113,COC1=CC2=C(C=C1)C3=CC=NC(=C3[NH]2)C,CC(=N)N=[N+]=[N-],0
C114,CN\C(NCCSCC1=C(C)NC=N1)=N\C#N,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=C(C=C34)OC)O,0
C115,O=C(C1CCCCC1)N1CC2N(CCC3=CC=CC=C23)C(=O)C1,C1CCN[C@H](C1)[C@H](C2=CC(=NC3=C2C=CC=C3C(F)(F)F)C(F)(F)F)O.Cl,0
C116,O=C(C1CCCCC1)N1CC2N(CCC3=CC=CC=C23)C(=O)C1,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=C(C=C34)OC)O,0
C117,CC1=C(C=C(C=C1)C(C)C)O,CN(C)C(=N)NC(=N)N,0
C118,C[C@]12CC[C@](C[C@@H]1C3=CC(=O)[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O[C@@H]6[C@@H]([C@H]([C@@H]([C@H](O6)C(=O)[O-])O)O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)C(=O)[O-])O)O)O)C)(C)C(=O)O.[Mg+2],C1CC(CCC1C2=CC=C(C=C2)Cl)C3=C(C4=CC=CC=C4C(=O)C3=O)O,0
C119,CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Cl,COC1=CC2=C(C=C1)C3=CC=NC(=C3[NH]2)C,0
C120,CN(C)C(=N)NC(=N)N,O=C(C1CCCCC1)N1CC2N(CCC3=CC=CC=C23)C(=O)C1,0
C121,C1CC(CCC1C2=CC=C(C=C2)Cl)C3=C(C4=CC=CC=C4C(=O)C3=O)O,CC(=O)CCCCN1C(=O)C2=C(N=CN2C)N(C1=O)C,0
C122,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=C(C=C34)OC)O,COC1=C(C=CC(=C1)[C@@H]2[C@H](OC3=C(O2)C=C(C=C3)[C@@H]4[C@H](C(=O)C5=C(C=C(C=C5O4)O)O)O)CO)O,0
C123,CC1C=CC=CC=CC=CC=CC=CC=CC(CC2C(C(CC(O2)(CC(CC(C(CCC(CC(CC(=O)OC(C(C1O)C)C)O)O)O)O)O)O)O)C(=O)O)OC3C(C(C(C(O3)C)O)N)O,CC1=NC=C(N1CCO)[N+](=O)[O-],0
C124,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=C(C=C34)OC)O,CC1=C(C=C(C=C1)C(C)C)O,0
C125,C1CN2CC3=CC4=C(C=C3[C@H]5[C@H]2C1=C[C@@H]([C@H]5O)O)OCO4,COC1=C(C=CC(=C1)/C=C/C(=O)CC(=O)/C=C/C2=CC(=C(C=C2)O)OC)O,0
C126,C1CC(CCC1C2=CC=C(C=C2)Cl)C3=C(C4=CC=CC=C4C(=O)C3=O)O,C1=CC(=NC=C1C(=O)N)N,0
C127,CC1=NC(=C(C)N=C1C)C,COC1=C(C=CC(=C1)[C@@H]2[C@H](OC3=C(O2)C=C(C=C3)[C@@H]4[C@H](C(=O)C5=C(C=C(C=C5O4)O)O)O)CO)O,0
C128,CC(=O)CCCCN1C(=O)C2=C(N=CN2C)N(C1=O)C,O=C(C1CCCCC1)N1CC2N(CCC3=CC=CC=C23)C(=O)C1,0
C129,COC1=C(C=CC(=C1)/C=C/C(=O)CC(=O)/C=C/C2=CC(=C(C=C2)O)OC)O,CC1=NC(=C(C)N=C1C)C,0
C130,CC1=NC(=C(C)N=C1C)C,CC1=C(C=C(C=C1)C(C)C)O,0
